登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率,イン進入数,さされ率,まくられ率,まくりさされ率
5362,2025-12-31,2026-07-01,91,1,1,0,0,0,0,0,0.0,0.0,-0.15,1.1,4,25.0,25.0,25.0
5363,2025-12-31,2026-07-01,51,0,0,0,0,0,0,0,,,-0.34,0.0,0,,,
5364,2025-12-31,2026-07-01,92,2,0,0,0,1,1,0,0.0,0.0,-0.05,0.0,0,,,
5365,2025-12-31,2026-07-01,95,1,0,0,1,0,0,0,100.0,0.0,-0.03,0.0,2,50.0,0.0,0.0
5366,2025-12-31,2026-07-01,77,0,0,0,0,0,0,0,,,-0.2,0.0,2,0.0,100.0,0.0
5367,2025-12-31,2026-07-01,65,2,0,0,2,0,0,0,100.0,0.0,-0.21,0.0,0,,,
5368,2025-12-31,2026-07-01,65,12,7,0,5,0,0,0,41.7,0.0,-0.05,0.0,11,9.1,9.1,18.2
5369,2025-12-31,2026-07-01,89,4,1,1,2,0,0,0,50.0,25.0,-0.04,0.0,11,18.2,36.4,36.4
5370,2025-12-31,2026-07-01,42,0,0,0,0,0,0,0,,,-0.17,0.0,0,,,
5371,2025-12-31,2026-07-01,76,1,0,0,1,0,0,0,100.0,0.0,-0.08,0.0,0,,,
5372,2025-12-31,2026-07-01,68,0,0,0,0,0,0,0,,,-0.46,0.0,0,,,
5373,2025-12-31,2026-07-01,74,1,0,0,0,1,0,0,0.0,0.0,-0.11,0.0,0,,,
5374,2025-12-31,2026-07-01,87,0,0,0,0,0,0,0,,,-0.14,0.0,0,,,
5375,2025-12-31,2026-07-01,88,1,0,0,0,1,0,0,0.0,0.0,-0.3,0.0,0,,,
5376,2025-12-31,2026-07-01,104,10,7,0,0,2,1,0,0.0,0.0,-0.01,0.0,11,18.2,0.0,18.2
5377,2025-12-31,2026-07-01,83,7,2,0,3,2,0,0,42.9,0.0,-0.03,0.0,3,0.0,33.3,0.0
5378,2025-12-31,2026-07-01,83,0,0,0,0,0,0,0,,,-0.17,0.0,0,,,
5379,2025-12-31,2026-07-01,75,2,2,0,0,0,0,0,0.0,0.0,-0.17,0.0,9,0.0,44.4,22.2
5380,2025-12-31,2026-07-01,96,0,0,0,0,0,0,0,,,-0.13,0.0,0,,,
5381,2025-12-31,2026-07-01,96,5,3,0,2,0,0,0,40.0,0.0,-0.04,0.0,6,16.7,0.0,33.3
5382,2025-12-31,2026-07-01,80,1,0,0,0,1,0,0,0.0,0.0,-0.08,0.0,0,,,
5383,2025-12-31,2026-07-01,83,0,0,0,0,0,0,0,,,-0.25,0.0,0,,,
5384,2025-12-31,2026-07-01,89,2,0,0,0,2,0,0,0.0,0.0,-0.27,0.0,1,0.0,100.0,0.0
5385,2025-12-31,2026-07-01,78,1,0,0,1,0,0,0,100.0,0.0,-0.25,0.0,0,,,
5386,2025-12-31,2026-07-01,88,4,2,0,2,0,0,0,50.0,0.0,-0.06,0.0,14,14.3,35.7,14.3
5387,2025-12-31,2026-07-01,63,0,0,0,0,0,0,0,,,-0.27,0.0,0,,,
5388,2025-12-31,2026-07-01,87,7,0,1,3,3,0,0,42.9,14.3,-0.19,0.0,0,,,
5389,2025-12-31,2026-07-01,71,1,0,1,0,0,0,0,0.0,100.0,-0.13,0.0,0,,,
5390,2025-12-31,2026-07-01,65,1,0,0,1,0,0,0,100.0,0.0,-0.14,0.0,0,,,
5391,2025-12-31,2026-07-01,64,0,0,0,0,0,0,0,,,-0.25,0.0,0,,,
5392,2025-12-31,2026-07-01,86,0,0,0,0,0,0,0,,,-0.19,0.0,0,,,
5393,2025-12-31,2026-07-01,90,0,0,0,0,0,0,0,,,-0.36,0.0,0,,,
5394,2025-12-31,2026-07-01,97,2,0,1,1,0,0,0,50.0,50.0,-0.1,0.0,0,,,
5395,2025-12-31,2026-07-01,74,2,0,1,0,1,0,0,0.0,50.0,-0.15,0.0,0,,,
5396,2025-12-31,2026-07-01,68,0,0,0,0,0,0,0,,,-0.18,0.0,0,,,
5397,2025-12-31,2026-07-01,77,0,0,0,0,0,0,0,,,-0.09,0.0,0,,,
5398,2025-12-31,2026-07-01,110,9,4,2,1,2,0,0,11.1,22.2,-0.09,0.0,9,0.0,33.3,11.1
5399,2025-12-31,2026-07-01,80,0,0,0,0,0,0,0,,,-0.23,0.0,0,,,
5400,2025-12-31,2026-07-01,88,0,0,0,0,0,0,0,,,-0.25,0.0,2,0.0,100.0,0.0
5401,2025-12-31,2026-07-01,51,1,0,0,0,1,0,0,0.0,0.0,-0.35,0.0,0,,,
5402,2025-12-31,2026-07-01,58,0,0,0,0,0,0,0,,,-0.32,0.0,0,,,
5403,2025-12-31,2026-07-01,84,0,0,0,0,0,0,0,,,-0.2,0.0,0,,,
5404,2025-12-31,2026-07-01,70,1,0,0,1,0,0,0,100.0,0.0,-0.24,0.0,0,,,
5405,2025-12-31,2026-07-01,78,2,0,0,2,0,0,0,100.0,0.0,-0.13,1.3,0,,,
5406,2025-12-31,2026-07-01,102,0,0,0,0,0,0,0,,,-0.21,0.0,0,,,
5407,2025-12-31,2026-07-01,89,1,0,0,0,1,0,0,0.0,0.0,-0.04,0.0,0,,,
5408,2025-12-31,2026-07-01,19,0,0,0,0,0,0,0,,,-0.33,0.0,0,,,
5409,2025-12-31,2026-07-01,73,1,0,0,1,0,0,0,100.0,0.0,-0.31,0.0,0,,,
5410,2025-12-31,2026-07-01,59,1,0,0,0,1,0,0,0.0,0.0,-0.35,0.0,0,,,
5411,2025-12-31,2026-07-01,64,0,0,0,0,0,0,0,,,-0.27,0.0,0,,,
5412,2025-12-31,2026-07-01,85,0,0,0,0,0,0,0,,,-0.09,0.0,0,,,
5413,2025-12-31,2026-07-01,92,1,0,0,1,0,0,0,100.0,0.0,-0.09,0.0,0,,,
5415,2025-12-31,2026-07-01,57,0,0,0,0,0,0,0,,,-0.11,0.0,0,,,
5416,2025-12-31,2026-07-01,75,1,0,0,1,0,0,0,100.0,0.0,-0.1,0.0,0,,,
5417,2025-12-31,2026-07-01,82,3,0,0,1,1,1,0,33.3,0.0,-0.09,1.5,0,,,
5418,2025-12-31,2026-07-01,83,0,0,0,0,0,0,0,,,-0.29,0.0,0,,,
5419,2025-12-31,2026-07-01,70,0,0,0,0,0,0,0,,,-0.36,0.0,0,,,
5420,2025-12-31,2026-07-01,63,0,0,0,0,0,0,0,,,-0.36,0.0,0,,,
5421,2025-12-31,2026-07-01,54,0,0,0,0,0,0,0,,,-0.36,0.0,0,,,
5422,2025-12-31,2026-07-01,67,0,0,0,0,0,0,0,,,-0.25,0.0,0,,,
5423,2025-12-31,2026-07-01,59,0,0,0,0,0,0,0,,,-0.29,0.0,0,,,
5424,2025-12-31,2026-07-01,64,1,0,0,1,0,0,0,100.0,0.0,-0.17,0.0,0,,,
5425,2025-12-31,2026-07-01,65,0,0,0,0,0,0,0,,,-0.4,0.0,0,,,
5426,2025-12-31,2026-07-01,76,0,0,0,0,0,0,0,,,-0.32,0.0,0,,,
5427,2025-12-31,2026-07-01,90,0,0,0,0,0,0,0,,,-0.34,0.0,0,,,
5428,2025-12-31,2026-07-01,73,0,0,0,0,0,0,0,,,-0.34,0.0,0,,,
5429,2025-12-31,2026-07-01,62,0,0,0,0,0,0,0,,,-0.46,0.0,0,,,
5430,2025-12-31,2026-07-01,70,0,0,0,0,0,0,0,,,-0.36,0.0,0,,,
5431,2025-12-31,2026-07-01,75,0,0,0,0,0,0,0,,,-0.36,0.0,0,,,
5432,2025-12-31,2026-07-01,76,2,0,0,0,2,0,0,0.0,0.0,-0.36,0.0,0,,,
5433,2025-12-31,2026-07-01,65,0,0,0,0,0,0,0,,,-0.2,0.0,0,,,
5434,2025-12-31,2026-07-01,69,1,0,0,1,0,0,0,100.0,0.0,-0.31,0.0,0,,,
5435,2025-12-31,2026-07-01,66,0,0,0,0,0,0,0,,,-0.34,0.0,0,,,
5436,2025-12-31,2026-07-01,78,0,0,0,0,0,0,0,,,-0.32,0.0,0,,,
5437,2025-12-31,2026-07-01,60,0,0,0,0,0,0,0,,,-0.28,0.0,0,,,
5438,2025-12-31,2026-07-01,76,0,0,0,0,0,0,0,,,-0.32,0.0,0,,,
5439,2025-12-31,2026-07-01,80,1,0,0,0,1,0,0,0.0,0.0,-0.34,0.0,0,,,
5440,2025-12-31,2026-07-01,63,0,0,0,0,0,0,0,,,-0.34,0.0,0,,,
5441,2025-12-31,2026-07-01,87,4,0,0,0,3,1,0,0.0,0.0,-0.48,0.0,0,,,
5442,2025-12-31,2026-07-01,65,0,0,0,0,0,0,0,,,-0.35,0.0,0,,,
5443,2025-12-31,2026-07-01,63,0,0,0,0,0,0,0,,,-0.45,0.0,0,,,
5444,2025-12-31,2026-07-01,78,0,0,0,0,0,0,0,,,-0.42,0.0,0,,,
5445,2025-12-31,2026-07-01,25,0,0,0,0,0,0,0,,,-0.46,0.0,0,,,
5446,2025-12-31,2026-07-01,20,0,0,0,0,0,0,0,,,-0.38,0.0,0,,,
5447,2025-12-31,2026-07-01,21,0,0,0,0,0,0,0,,,-0.19,0.0,0,,,
5448,2025-12-31,2026-07-01,19,0,0,0,0,0,0,0,,,-0.25,0.0,0,,,
5449,2025-12-31,2026-07-01,23,1,0,0,1,0,0,0,100.0,0.0,-0.22,0.0,0,,,
5450,2025-12-31,2026-07-01,24,0,0,0,0,0,0,0,,,-0.21,0.0,0,,,
5451,2025-12-31,2026-07-01,15,0,0,0,0,0,0,0,,,-0.08,0.0,0,,,
5452,2025-12-31,2026-07-01,25,0,0,0,0,0,0,0,,,-0.28,0.0,0,,,
5453,2025-12-31,2026-07-01,27,0,0,0,0,0,0,0,,,-0.35,0.0,0,,,
5454,2025-12-31,2026-07-01,24,0,0,0,0,0,0,0,,,-0.29,0.0,0,,,
5455,2025-12-31,2026-07-01,28,0,0,0,0,0,0,0,,,-0.5,0.0,0,,,
5456,2025-12-31,2026-07-01,27,0,0,0,0,0,0,0,,,-0.15,0.0,0,,,
5457,2025-12-31,2026-07-01,25,0,0,0,0,0,0,0,,,-0.19,0.0,0,,,
5458,2025-12-31,2026-07-01,28,0,0,0,0,0,0,0,,,-0.31,0.0,0,,,
5459,2025-12-31,2026-07-01,19,0,0,0,0,0,0,0,,,-0.21,0.0,0,,,
5460,2025-12-31,2026-07-01,34,0,0,0,0,0,0,0,,,-0.33,0.0,0,,,
5461,2025-12-31,2026-07-01,25,0,0,0,0,0,0,0,,,-0.5,0.0,0,,,
5462,2025-12-31,2026-07-01,25,0,0,0,0,0,0,0,,,-0.33,0.0,0,,,
5463,2025-12-31,2026-07-01,21,0,0,0,0,0,0,0,,,-0.1,0.0,0,,,
5464,2025-12-31,2026-07-01,20,0,0,0,0,0,0,0,,,-0.38,0.0,0,,,
5465,2025-12-31,2026-07-01,20,0,0,0,0,0,0,0,,,-0.25,0.0,0,,,
5466,2025-12-31,2026-07-01,26,0,0,0,0,0,0,0,,,-0.56,0.0,0,,,
5467,2025-12-31,2026-07-01,25,0,0,0,0,0,0,0,,,-0.24,0.0,0,,,
5468,2025-12-31,2026-07-01,24,0,0,0,0,0,0,0,,,-0.3,0.0,0,,,
5469,2025-12-31,2026-07-01,25,0,0,0,0,0,0,0,,,-0.38,0.0,0,,,
5470,2025-12-31,2026-07-01,15,0,0,0,0,0,0,0,,,-0.21,0.0,0,,,
5471,2025-12-31,2026-07-01,32,0,0,0,0,0,0,0,,,-0.3,0.0,0,,,
5472,2025-12-31,2026-07-01,24,0,0,0,0,0,0,0,,,-0.33,0.0,0,,,
